Input Movie,Recommended Movie
Rocky III,Recommended Movie
Rocky III,Similarity Score
Greed,Recommended Movie
Greed,Similarity Score
American Pie,Recommended Movie
American Pie,Similarity Score
My Tutor,Recommended Movie
My Tutor,Similarity Score
Jay and Silent Bob Strike Back,Recommended Movie
Jay and Silent Bob Strike Back,Similarity Score
Confidentially Yours,Recommended Movie
Confidentially Yours,Similarity Score
The Dark,Recommended Movie
The Dark,Similarity Score
2001: A Space Odyssey,Recommended Movie
2001: A Space Odyssey,Similarity Score
Three Colors: Red,Recommended Movie
Three Colors: Red,Similarity Score
Wings of Desire,Recommended Movie
Wings of Desire,Similarity Score
48 Hrs.,Recommended Movie
48 Hrs.,Similarity Score
Lost in Translation,Recommended Movie
Lost in Translation,Similarity Score
Ocean's Eleven,Recommended Movie
Ocean's Eleven,Similarity Score
Back to the Future Part II,Recommended Movie
Back to the Future Part II,Similarity Score
Star Trek IV: The Voyage Home,Recommended Movie
Star Trek IV: The Voyage Home,Similarity Score
A Clockwork Orange,Recommended Movie
A Clockwork Orange,Similarity Score
Lucky Number Slevin,Recommended Movie
Lucky Number Slevin,Similarity Score
Berlin: Symphony of a Great City,Recommended Movie
Berlin: Symphony of a Great City,Similarity Score
Rebecca,Recommended Movie
Rebecca,Similarity Score
Man of Iron,Recommended Movie
Man of Iron,Similarity Score
